step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.11603854596614838,0.1354404091835022,0.6576254,1,0.00019290123600512743
1,0.11582453548908234,0.13530577719211578,0.65767395,4,0.00038521166425198317
2,0.11548934876918793,0.13506902754306793,0.6578008,10,0.0006898758583702147
3,0.11499269306659698,0.13470734655857086,0.65800107,16,0.0011503564892336726
4,0.11414233595132828,0.1341097354888916,0.6582636,26,0.0020572433713823557
5,0.11337840557098389,0.13348868489265442,0.65849215,32,0.002908081281930208
6,0.11205044388771057,0.13239042460918427,0.6590333,46,0.0043794866651296616
7,0.11095990240573883,0.1314825713634491,0.65938485,61,0.005673133302479982
8,0.10946403443813324,0.1302449256181717,0.6599635,77,0.007364973425865173
9,0.10795532912015915,0.1290452778339386,0.66072655,92,0.009087145328521729
10,0.1064675897359848,0.12768030166625977,0.66126674,111,0.01117677427828312
11,0.10485858470201492,0.12629996240139008,0.6619164,128,0.013401365838944912
12,0.10327102243900299,0.12505879998207092,0.66135824,150,0.016092145815491676
13,0.10136314481496811,0.12358935177326202,0.6616094,171,0.019032495096325874
14,0.09977070242166519,0.1223817765712738,0.6611747,194,0.021816175431013107
15,0.0982700064778328,0.12124733626842499,0.660006,216,0.02449314296245575
16,0.0961754322052002,0.11957200616598129,0.65798897,244,0.028235705569386482
17,0.09373688697814941,0.11761275678873062,0.6571151,277,0.032496921718120575
18,0.09187906980514526,0.11613298207521439,0.65611386,301,0.03580110892653465
19,0.09002386778593063,0.11449243128299713,0.6554009,324,0.039257992058992386
20,0.08801893144845963,0.11264859884977341,0.6543149,346,0.04356206953525543
21,0.08585440367460251,0.11066731065511703,0.65321493,370,0.04798590764403343
22,0.08303956687450409,0.10803955048322678,0.6537422,400,0.05269574373960495
23,0.08033229410648346,0.10562548041343689,0.65403295,426,0.057326752692461014
24,0.07788771390914917,0.10345262289047241,0.65497535,449,0.06136514991521835
25,0.07549723982810974,0.1013721153140068,0.6556442,477,0.06542933732271194
26,0.07239861786365509,0.09848985075950623,0.6567774,505,0.07062139362096786
27,0.06959140300750732,0.09574232250452042,0.6588571,538,0.07525055855512619
28,0.06660351902246475,0.0928758904337883,0.6614299,565,0.07994929701089859
29,0.06361503154039383,0.08999188989400864,0.66520065,593,0.08440335839986801
30,0.06098977476358414,0.08721897006034851,0.6692773,605,0.08878841996192932
31,0.05786050856113434,0.08396757394075394,0.6733315,633,0.09396707266569138
32,0.05493644252419472,0.08115579187870026,0.6779092,657,0.09815087914466858
33,0.0524042509496212,0.07848414778709412,0.6827992,683,0.1022663339972496
34,0.04928477481007576,0.07522076368331909,0.6891835,702,0.10701708495616913
35,0.045946408063173294,0.07170770317316055,0.69658023,727,0.1121072918176651
36,0.043071333318948746,0.06851489096879959,0.7034548,747,0.11669042706489563
37,0.0405772365629673,0.06561190634965897,0.7098894,761,0.12087351083755493
38,0.03790062293410301,0.06265012919902802,0.7175348,785,0.12493451684713364
39,0.03514650836586952,0.05964335799217224,0.72602755,815,0.12898285686969757
40,0.03254759684205055,0.0566401369869709,0.7351981,831,0.13299953937530518
41,0.029902122914791107,0.05352294445037842,0.7446702,851,0.1372772753238678
42,0.02746310643851757,0.05045252665877342,0.75453657,868,0.14138467609882355
43,0.025578152388334274,0.048053089529275894,0.7631006,878,0.14458782970905304
44,0.023570997640490532,0.0454460084438324,0.77232975,889,0.1481611728668213
45,0.02161470800638199,0.04289849475026131,0.7819313,903,0.15151944756507874
46,0.019881075248122215,0.04048299044370651,0.791389,914,0.15470093488693237
47,0.01803683117032051,0.03792807087302208,0.8017955,924,0.15817506611347198
48,0.016229886561632156,0.03550438955426216,0.8122228,935,0.1616279035806656
49,0.01462271437048912,0.03329112008213997,0.82230824,955,0.16450868546962738
50,0.013184902258217335,0.031381912529468536,0.8330363,969,0.16715188324451447
51,0.011897874996066093,0.029523154720664024,0.8429239,981,0.16962790489196777
52,0.01051985565572977,0.02755776420235634,0.85378367,985,0.17221398651599884
53,0.009180626831948757,0.02567576803267002,0.8651864,1000,0.1748810112476349
54,0.008131831884384155,0.02400750294327736,0.8750422,1009,0.17690230906009674
55,0.007128583267331123,0.022398265078663826,0.8850572,1022,0.17916037142276764
56,0.006167970597743988,0.02095133624970913,0.89435273,1029,0.1812105029821396
57,0.005336588714271784,0.01960712857544422,0.90259254,1035,0.1830458641052246
58,0.004701260477304459,0.018460296094417572,0.90953255,1042,0.1846867948770523
59,0.004064679611474276,0.017276693135499954,0.9163319,1046,0.18625913560390472
60,0.0034923802595585585,0.016161445528268814,0.9230632,1049,0.18762677907943726
61,0.0030540265142917633,0.015097688883543015,0.9286274,1054,0.18877160549163818
62,0.0026800374034792185,0.014242157340049744,0.933543,1060,0.1897469162940979
63,0.0023412839509546757,0.013366978615522385,0.9384296,1062,0.19071204960346222
64,0.0020247793290764093,0.012561962939798832,0.9430562,1064,0.19154685735702515
65,0.0016729356721043587,0.011648713611066341,0.94835216,1063,0.19240261614322662
66,0.0014515696093440056,0.010944278910756111,0.9519981,1067,0.19306062161922455
67,0.0012557749869301915,0.010349748656153679,0.95521235,1069,0.19364722073078156
68,0.0010812298860400915,0.009692836552858353,0.9584856,1070,0.19425469636917114
69,0.0009652138687670231,0.00920596718788147,0.9610452,1071,0.19457995891571045
70,0.0008391768205910921,0.008656438440084457,0.96387434,1072,0.1950029581785202
71,0.0007425115909427404,0.008182727731764317,0.96618366,1072,0.19540157914161682
72,0.0006679351790808141,0.007772956974804401,0.9683252,1075,0.19574105739593506
73,0.0006028751377016306,0.007394989486783743,0.9703329,1075,0.1960550844669342
74,0.0005535472882911563,0.007097672671079636,0.9716767,1078,0.1962854415178299
75,0.000515356776304543,0.006849950645118952,0.9727439,1079,0.19644494354724884
76,0.0004723503370769322,0.00662196846678853,0.9737923,1079,0.1966816782951355
77,0.00043855118565261364,0.006382410880178213,0.97486377,1080,0.19684343039989471
