step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.02593591809272766,0.04643649235367775,0.68665737,1,0.00019290123600512743
1,0.025820067152380943,0.0463222973048687,0.6867838,4,0.0004106092092115432
2,0.025621488690376282,0.046102967113256454,0.6871965,9,0.0009735223720781505
3,0.025386322289705276,0.04584341123700142,0.68784624,18,0.0015089549124240875
4,0.025343170389533043,0.045845866203308105,0.687887,24,0.001967456890270114
5,0.025202620774507523,0.045705776661634445,0.6882807,31,0.002522378694266081
6,0.02497449703514576,0.045552611351013184,0.68935513,46,0.003605312667787075
7,0.02476491965353489,0.04541352763772011,0.68973166,57,0.0047997678630054
8,0.024528969079256058,0.0451253242790699,0.6908536,69,0.006449087057262659
9,0.024416549131274223,0.045085206627845764,0.6915009,81,0.007733091711997986
10,0.02437056228518486,0.04515428468585014,0.69141495,98,0.009595822542905807
11,0.024181094020605087,0.045063212513923645,0.6920338,113,0.010887285694479942
12,0.02392602525651455,0.044789332896471024,0.69388956,128,0.01274046953767538
13,0.02377382107079029,0.04472022503614426,0.694918,137,0.014703629538416862
14,0.023490803316235542,0.04443135857582092,0.69606817,154,0.016222035512328148
15,0.022992273792624474,0.04400335252285004,0.6993671,174,0.018114237114787102
16,0.022385776042938232,0.043198369443416595,0.70449746,191,0.01977653242647648
17,0.021741921082139015,0.04238671064376831,0.71006644,214,0.021455753594636917
18,0.02122451364994049,0.04173090308904648,0.7146469,237,0.023156778886914253
19,0.020736269652843475,0.04125242307782173,0.71938807,257,0.025239067152142525
20,0.020309051498770714,0.040877584367990494,0.72310853,282,0.027000345289707184
21,0.020027413964271545,0.0406934916973114,0.725034,298,0.02833157777786255
22,0.019859572872519493,0.04081868380308151,0.7256517,316,0.029804667457938194
23,0.019718099385499954,0.040901023894548416,0.7256249,333,0.031188568100333214
24,0.019523650407791138,0.04099291190505028,0.72656226,360,0.033042214810848236
25,0.01936880126595497,0.04104006662964821,0.7269348,375,0.03432304039597511
26,0.0192689448595047,0.041199326515197754,0.72656214,399,0.035635001957416534
27,0.01907419040799141,0.04124573990702629,0.726678,429,0.037284065037965775
