step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.030425047501921654,0.04302829131484032,0.7920287,1,0.00019290123600512743
1,0.03031913749873638,0.04294346645474434,0.79207444,2,0.00038054934702813625
2,0.03001553937792778,0.04263263940811157,0.792498,6,0.0009014222887344658
3,0.029595883563160896,0.04222418740391731,0.793447,11,0.0017310628900304437
4,0.029026934877038002,0.04168156161904335,0.79440594,21,0.0027825096622109413
5,0.028120990842580795,0.04078252241015434,0.79636544,34,0.0047548613511025906
6,0.027384474873542786,0.04008801653981209,0.7979754,46,0.006424648687243462
7,0.02676333859562874,0.039538294076919556,0.7994859,59,0.007996473461389542
8,0.026041371747851372,0.03889456391334534,0.8010375,74,0.010136718861758709
9,0.025391846895217896,0.03824089094996452,0.80264413,84,0.012217722833156586
10,0.02460387907922268,0.03757179528474808,0.80452573,99,0.015062395483255386
11,0.023967372253537178,0.03695331886410713,0.8061882,114,0.016841383650898933
12,0.023309990763664246,0.03617723658680916,0.80847955,122,0.01950812339782715
13,0.02262319251894951,0.035379666835069656,0.81123257,139,0.021961038932204247
14,0.02182983234524727,0.03447844833135605,0.81423366,151,0.024188224226236343
15,0.02091805636882782,0.03344598412513733,0.8173767,164,0.02663767710328102
16,0.020079230889678,0.03258611634373665,0.8201697,179,0.02852693945169449
17,0.019305197522044182,0.031711384654045105,0.82283896,194,0.0301508791744709
18,0.018607065081596375,0.030959805473685265,0.8260845,208,0.032475367188453674
19,0.01781054399907589,0.030105620622634888,0.82930565,223,0.034652188420295715
20,0.017020208761096,0.029293213039636612,0.8325607,239,0.03660556301474571
21,0.016525445505976677,0.028776854276657104,0.8348391,254,0.03829122334718704
22,0.01604761928319931,0.02818494662642479,0.8373332,260,0.039707645773887634
23,0.015478722751140594,0.027537181973457336,0.84048045,269,0.0417787991464138
24,0.0148916095495224,0.026841873303055763,0.8433579,281,0.04392882436513901
25,0.014189090579748154,0.026022104546427727,0.8468437,299,0.045668624341487885
26,0.013537969440221786,0.02529911883175373,0.85010076,308,0.04754116013646126
27,0.013021565973758698,0.02469063363969326,0.8531096,323,0.04919243976473808
28,0.012553535401821136,0.024177780374884605,0.85578257,336,0.05082281306385994
29,0.011905980296432972,0.023403942584991455,0.85975796,346,0.0524614080786705
30,0.011434396728873253,0.022853901609778404,0.8629079,357,0.053837910294532776
31,0.011061728931963444,0.022293226793408394,0.865744,367,0.055261339992284775
32,0.01038103736937046,0.021433094516396523,0.8701326,378,0.0568181611597538
33,0.00971724558621645,0.020601758733391762,0.87509155,381,0.0582415834069252
34,0.00902844313532114,0.01962767355144024,0.87986183,391,0.059818219393491745
35,0.008504817262291908,0.01899118535220623,0.8843188,401,0.061281297355890274
36,0.007998650893568993,0.01824183203279972,0.8889204,411,0.062595434486866
37,0.0074454862624406815,0.017426220700144768,0.8940878,428,0.06407665461301804
38,0.006885044276714325,0.01650959812104702,0.8998179,431,0.06562058627605438
39,0.006443288642913103,0.015758726745843887,0.9041524,435,0.06669912487268448
40,0.00595806073397398,0.015072042122483253,0.9091085,444,0.06791558861732483
41,0.005428461357951164,0.01420074887573719,0.914521,450,0.06921258568763733
42,0.004958063829690218,0.013495774939656258,0.9189967,461,0.07033400237560272
43,0.004529263358563185,0.012782259844243526,0.9240134,468,0.0713091716170311
44,0.00407943082973361,0.012089735828340054,0.9291683,475,0.07213522493839264
45,0.0037101125344634056,0.011416099965572357,0.9339481,481,0.0729435607790947
46,0.0033937161788344383,0.010854359716176987,0.93784,487,0.07359326630830765
47,0.0030545827466994524,0.010306804440915585,0.9427067,492,0.07437996566295624
48,0.002722744131460786,0.009733167476952076,0.94713795,493,0.07509606331586838
49,0.002431469736620784,0.009173220954835415,0.9515502,494,0.07573229819536209
50,0.0022111719008535147,0.008709464222192764,0.9551474,497,0.07623494416475296
51,0.001991892931982875,0.008270563557744026,0.95887697,496,0.07684501260519028
52,0.0017507565207779408,0.007749777287244797,0.9628552,498,0.07734298706054688
53,0.0015548162627965212,0.007290730718523264,0.96623397,500,0.07802049815654755
54,0.0012840423732995987,0.00672677718102932,0.9706067,504,0.07860903441905975
55,0.0011151902144774795,0.006286557763814926,0.9733843,508,0.07903092354536057
56,0.0009419379057362676,0.005891095846891403,0.97651565,510,0.07946176826953888
57,0.0008096995879895985,0.0055584777146577835,0.9786171,512,0.07979930192232132
58,0.0006873129750601947,0.005234697833657265,0.98079956,512,0.08011219650506973
59,0.0005843283142894506,0.004958720412105322,0.9828069,515,0.08041946589946747
60,0.0005098631954751909,0.004680636804550886,0.98458165,516,0.08077694475650787
61,0.00042903106077574193,0.004393289797008038,0.9861481,519,0.08091196417808533
62,0.00036901855492033064,0.0041726091876626015,0.98740333,521,0.08110000193119049
63,0.00032918917713686824,0.00398158049210906,0.98833025,522,0.08122894912958145
64,0.00028904969803988934,0.0037928286474198103,0.9891764,523,0.08139210194349289
65,0.0002644496562425047,0.003640327136963606,0.9898479,524,0.0815420150756836
66,0.00024389709869865328,0.003514704992994666,0.9903824,524,0.08162370324134827
67,0.00021894287783652544,0.003380917478352785,0.9907441,524,0.08163697272539139
68,0.00020473814220167696,0.0032696127891540527,0.9911145,527,0.08174145221710205
69,0.00018853494839277118,0.0031696176156401634,0.99128366,527,0.08178207278251648
70,0.00016652210615575314,0.0030470045749098063,0.99158734,527,0.08185362815856934
71,0.00015145832730922848,0.002943414030596614,0.9918382,525,0.08197009563446045
72,0.00014117204409558326,0.0028624683618545532,0.9920182,525,0.08203882724046707
73,0.0001316678390139714,0.0027968992944806814,0.992138,523,0.08200322836637497
74,0.0001253264199476689,0.0027588852681219578,0.992295,522,0.08201933652162552
75,0.00011973755317740142,0.0027096066623926163,0.99248195,520,0.08204253762960434
76,0.00011357555922586471,0.0026687132194638252,0.99249786,519,0.08205638825893402
77,0.00011219999578315765,0.0026537468656897545,0.99245405,520,0.08209139853715897
78,0.00010875619045691565,0.002639106474816799,0.9924088,521,0.08210647106170654
79,0.00010618436499498785,0.002621944760903716,0.9922798,521,0.08216731995344162
80,0.00010506753460504115,0.002611799631267786,0.9921831,520,0.08220865577459335
81,0.000100136392575223,0.002581611042842269,0.9922021,519,0.08224037289619446
82,9.617012256057933e-05,0.002552214777097106,0.9923642,520,0.08227980881929398
83,9.29086163523607e-05,0.0025327042676508427,0.992387,520,0.0822887197136879
84,9.017021511681378e-05,0.0025134054012596607,0.99241173,520,0.08225270360708237
85,8.67942362674512e-05,0.002494752872735262,0.9924934,520,0.08229544013738632
