step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.083762988448143,0.10144894570112228,0.71622634,1,0.00019290123600512743
1,0.08364774286746979,0.10137949883937836,0.71626437,4,0.0003501105238683522
2,0.08350159972906113,0.10129904001951218,0.71637,9,0.0005471972399391234
3,0.08313946425914764,0.10104560852050781,0.7165201,14,0.0010336474515497684
4,0.08257556706666946,0.10063416510820389,0.71668625,24,0.001854606787674129
5,0.08188144862651825,0.10011584311723709,0.7167924,35,0.0027775487396866083
6,0.0812075287103653,0.09952997416257858,0.71701455,43,0.003932243678718805
7,0.08030708879232407,0.09870285540819168,0.71728,51,0.005716175772249699
8,0.07926325500011444,0.09774558991193771,0.71744835,62,0.007496887352317572
9,0.0780988410115242,0.09681051969528198,0.7174881,77,0.009437358006834984
10,0.0767865851521492,0.09573005139827728,0.717682,90,0.011893133632838726
11,0.0758465975522995,0.09487604349851608,0.7177999,102,0.014318101108074188
12,0.0746903270483017,0.09378403425216675,0.7180096,118,0.016672654077410698
13,0.07323388755321503,0.09242516756057739,0.71827847,135,0.019403286278247833
14,0.07186510413885117,0.09116961807012558,0.7185283,150,0.022357068955898285
15,0.07058358937501907,0.09002602100372314,0.71864057,166,0.02543225698173046
16,0.06901028752326965,0.08866092562675476,0.7187953,184,0.02890060655772686
17,0.06710340082645416,0.08700686693191528,0.71892697,199,0.032653044909238815
18,0.06513462215662003,0.08522849529981613,0.71918064,219,0.03640225902199745
19,0.06325658410787582,0.08352271467447281,0.7196377,232,0.039839424192905426
20,0.06116620451211929,0.08162958920001984,0.72046137,253,0.042897745966911316
21,0.05912157520651817,0.0797901526093483,0.7213458,276,0.04618944227695465
22,0.05657520890235901,0.07761414349079132,0.7230717,300,0.04998993128538132
23,0.05473586171865463,0.0757654681801796,0.7241266,317,0.053186677396297455
24,0.052376292645931244,0.07355783134698868,0.72612095,331,0.05679386481642723
25,0.050197143107652664,0.0714893564581871,0.7288627,350,0.06020471826195717
26,0.04771401733160019,0.06918523460626602,0.7315479,377,0.06396104395389557
27,0.04535949230194092,0.06682338565587997,0.7344986,396,0.06768975406885147
28,0.04320524260401726,0.06474951654672623,0.7370973,420,0.07108434289693832
29,0.04110489785671234,0.06252867728471756,0.7398408,437,0.07434893399477005
30,0.03926738724112511,0.06063906475901604,0.7430649,456,0.07726752758026123
31,0.037142764776945114,0.058560311794281006,0.7466949,477,0.08046986907720566
32,0.03509833663702011,0.056454069912433624,0.7501763,496,0.08371365815401077
33,0.0332949236035347,0.054533012211322784,0.75335634,517,0.08659512549638748
34,0.031391702592372894,0.05244899168610573,0.7571999,534,0.08972525596618652
35,0.029502023011446,0.05049674212932587,0.76127183,555,0.09263277798891068
36,0.027701707556843758,0.04852179065346718,0.766057,576,0.09585800021886826
37,0.026039429008960724,0.04673067107796669,0.7707999,596,0.09870030730962753
38,0.02442975342273712,0.04509562999010086,0.77538383,615,0.10127383470535278
39,0.022738579660654068,0.043191421777009964,0.78114223,633,0.1041063517332077
40,0.02127530798316002,0.04162765294313431,0.7861533,646,0.10668358951807022
41,0.019598964601755142,0.039583928883075714,0.7924934,660,0.10949106514453888
42,0.018138105049729347,0.03783455491065979,0.7989218,680,0.11202609539031982
43,0.016498133540153503,0.03574918210506439,0.8075369,699,0.114659883081913
44,0.014913054183125496,0.0337337963283062,0.81634444,715,0.11729968339204788
45,0.013564498163759708,0.03193245455622673,0.82489485,726,0.11963474750518799
46,0.012264502234756947,0.030133388936519623,0.83380675,735,0.12188190966844559
47,0.011126166209578514,0.02848251350224018,0.84240234,754,0.12398897856473923
48,0.009958934038877487,0.026976747438311577,0.8514143,767,0.12634122371673584
49,0.009098641574382782,0.025692783296108246,0.8589901,783,0.12838196754455566
50,0.008142262697219849,0.024312924593687057,0.8677741,796,0.13042965531349182
51,0.007168072275817394,0.023004908114671707,0.8769161,807,0.13218024373054504
52,0.006433687172830105,0.021741744130849838,0.88464296,816,0.13381190598011017
