step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.083762988448143,0.10144894570112228,0.71622634,1,0.00019290123600512743
1,0.0834708884358406,0.10125444829463959,0.7163363,4,0.0004921152722090483
2,0.08299355953931808,0.1008976623415947,0.7166345,11,0.0009255162440240383
3,0.08210012316703796,0.10013866424560547,0.7170469,22,0.002024585148319602
4,0.08128365129232407,0.0994548574090004,0.71742016,30,0.0030348910950124264
5,0.08016055077314377,0.09847123920917511,0.71807015,39,0.004411499481648207
6,0.07830300182104111,0.09693913161754608,0.7189576,60,0.006943375803530216
7,0.076928049325943,0.09568969160318375,0.71972764,76,0.008938605897128582
8,0.07510063052177429,0.09407130628824234,0.7201371,91,0.012099911458790302
9,0.07338906824588776,0.09257598221302032,0.7203587,110,0.015082593075931072
10,0.07123921811580658,0.09056773036718369,0.72071195,130,0.019301023334264755
11,0.06914768368005753,0.08860685676336288,0.72109175,157,0.023026682436466217
12,0.06737279891967773,0.08685576170682907,0.72143716,172,0.026756295934319496
13,0.06503524631261826,0.08482235670089722,0.7226951,197,0.031178751960396767
14,0.06254749745130539,0.0825660228729248,0.7235201,223,0.03533068299293518
15,0.05983086675405502,0.07995075732469559,0.72486454,247,0.039895396679639816
16,0.0574251227080822,0.07773204892873764,0.72606593,274,0.044266123324632645
17,0.05492645874619484,0.07525874674320221,0.728057,299,0.049000468105077744
18,0.05212610587477684,0.07256483286619186,0.7302465,326,0.05358845368027687
19,0.04956170171499252,0.07009555399417877,0.7321782,348,0.058156818151474
20,0.04693245515227318,0.067519411444664,0.7348665,362,0.062001194804906845
21,0.04435307905077934,0.06493501365184784,0.73767,390,0.06575389206409454
22,0.04157330095767975,0.062110304832458496,0.7412417,409,0.0696064755320549
23,0.03885825350880623,0.059285398572683334,0.7449663,437,0.07371575385332108
24,0.03629438951611519,0.05656813457608223,0.74953675,458,0.0774763822555542
25,0.033931732177734375,0.05395979434251785,0.75419176,473,0.08085763454437256
