step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.05090281367301941,0.06807595491409302,0.7005345,1,0.00019290123600512743
1,0.05090032517910004,0.06811467558145523,0.700458,3,0.00017217372078448534
2,0.05072789639234543,0.06801820546388626,0.70053214,8,0.0006101525505073369
3,0.050514839589595795,0.06784773617982864,0.70074844,14,0.0012928341748192906
4,0.05002785474061966,0.06742299348115921,0.7010602,26,0.002785015618428588
5,0.04982154816389084,0.06721770018339157,0.7014443,43,0.004970738664269447
6,0.0498998649418354,0.06713111698627472,0.70170546,55,0.0072372835129499435
7,0.04964792728424072,0.0667901411652565,0.70225644,74,0.010441242717206478
8,0.04987151548266411,0.06676694005727768,0.70246816,89,0.013976830057799816
9,0.05003907531499863,0.06669643521308899,0.7027425,105,0.01792951673269272
10,0.05016598105430603,0.06657452136278152,0.7031098,121,0.02145276963710785
11,0.05015077069401741,0.06624021381139755,0.703362,144,0.02520211599767208
12,0.050324711948633194,0.06592897325754166,0.70365494,164,0.02933761291205883
13,0.050564225763082504,0.06584922224283218,0.70384943,183,0.0329732820391655
14,0.050950851291418076,0.06536337733268738,0.70418143,202,0.03698151931166649
15,0.05027252808213234,0.06444069743156433,0.7044752,230,0.04068448394536972
16,0.05004730820655823,0.06373682618141174,0.7046818,250,0.04440915212035179
17,0.04959195479750633,0.0631522536277771,0.7048092,278,0.04806303605437279
18,0.048445262014865875,0.06189802661538124,0.7052,308,0.0513913556933403
19,0.04724994674324989,0.060797318816185,0.70589614,334,0.054964348673820496
20,0.04603288695216179,0.05958208441734314,0.70647943,353,0.05797732248902321
21,0.04463808983564377,0.058275748044252396,0.7073236,378,0.06099313497543335
22,0.04309481754899025,0.05703037604689598,0.7084129,406,0.06426344811916351
23,0.041300561279058456,0.05564773827791214,0.7103805,433,0.06647057831287384
24,0.03958060219883919,0.05446638911962509,0.7125031,457,0.06936552375555038
25,0.03762493655085564,0.053163427859544754,0.7157285,481,0.07180190086364746
26,0.03529644012451172,0.05181724578142166,0.718829,506,0.07456249743700027
27,0.033109139651060104,0.05037783831357956,0.72229326,528,0.07713381201028824
28,0.030787590891122818,0.04884134232997894,0.72668624,548,0.07947394996881485
29,0.02838745154440403,0.04713039472699165,0.7313827,575,0.08184569329023361
30,0.026275940239429474,0.045414891093969345,0.7364269,598,0.0846773311495781
31,0.02441500499844551,0.04387567564845085,0.74089366,618,0.08698868751525879
32,0.022314786911010742,0.04226180166006088,0.7462554,641,0.08923473209142685
33,0.020559441298246384,0.040671370923519135,0.75180244,672,0.09157610684633255
34,0.01842491328716278,0.038839880377054214,0.7576692,691,0.09410545974969864
35,0.01689796708524227,0.03729911521077156,0.7629645,708,0.09619505703449249
36,0.015339495614171028,0.03582454472780228,0.7681954,726,0.09830933809280396
37,0.013831238262355328,0.03435101360082626,0.7732834,736,0.1006908267736435
38,0.012589827179908752,0.03297168016433716,0.7780395,753,0.10264366120100021
39,0.011585338972508907,0.03174398094415665,0.78340197,770,0.10458548367023468
40,0.010682160034775734,0.030609820038080215,0.7887775,780,0.10683532804250717
41,0.010021333582699299,0.029653767123818398,0.7931919,786,0.10860512405633926
42,0.009356869384646416,0.02863406576216221,0.7982073,793,0.11053101718425751
43,0.00877320021390915,0.027671443298459053,0.80326825,805,0.11211356520652771
44,0.008222600445151329,0.026807734742760658,0.8081808,811,0.1134018748998642
45,0.007707816548645496,0.0258928369730711,0.8133879,817,0.1148054450750351
46,0.007250174880027771,0.025016319006681442,0.8189655,823,0.11610358208417892
47,0.0068246773444116116,0.02428811602294445,0.823889,827,0.11713896691799164
48,0.006438392214477062,0.02356898970901966,0.8290771,829,0.1180400624871254
49,0.0060825040563941,0.022858157753944397,0.83407867,830,0.1189766377210617
50,0.00571404118090868,0.022088102996349335,0.83957577,836,0.12014392763376236
